Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T16-2-PP,PP,T16,696,50,76.3,100,22,1,0,266.14,1035.1069259373992,0.10351069259373992,0.004217997220983116,4.217997220983116
T16-3-PP,PP,T16,696,50,73.4,100,22,1,0,251.52,995.7647229856502,0.09957647229856503,0.0040576801575381485,4.057680157538148
T16-4-PP,PP,T16,696,50,73.1,100,22,1,0,273.35,991.694839921676,0.0991694839921676,0.004041095633733496,4.041095633733496
T16-5-PP,PP,T16,696,50,74.1,100,22,1,0,252.26,1005.2611168015895,0.10052611168015896,0.004096377379749002,4.096377379749002
C-1-SW,SW_background,T0-1,0,50,36.3,100,22,1,0,-7.709,492.45585074085966,0.04924558507408597,0.0020067273803628717,2.0067273803628716
C-2-SW,SW_background,T0-1,0,50,37.6,100,22,1,0,-8.425,510.09201068474727,0.05100920106847473,0.00207859365018303,2.0785936501830298
C-3-SW,SW_background,T0-1,0,50,37,100,22,1,0,-9.533,501.95224455679914,0.050195224455679914,0.002045424602573726,2.0454246025737257
C-1-SW,SW_background,T0,24,50,37.7,100,22,1,0,-10.361,511.4486383727386,0.05114486383727387,0.0020841218247845805,2.0841218247845803
C-2-SW,SW_background,T0,24,50,37,100,22,1,0,-10.17,501.95224455679914,0.050195224455679914,0.002045424602573726,2.0454246025737257
C-3-SW,SW_background,T0,24,50,36.6,100,22,1,0,NA,496.52573380483375,0.04965257338048338,0.0020233119041675237,2.0233119041675236
C-1-SW,SW_background,T1,48,50,38.4,100,22,1,0,-11.3,520.9450321886779,0.0520945032188678,0.002122819046995434,2.122819046995434
C-2-SW,SW_background,T1,48,50,41.8,100,22,1,0,-10.86,567.0703735803838,0.056707037358038385,0.002310776983448155,2.310776983448155
C-3-SW,SW_background,T1,48,50,41.2,100,22,1,0,-10.8,558.9306074524358,0.05589306074524358,0.0022776079358388514,2.2776079358388515
C-1-SW,SW_background,T2,72,50,43.1,100,22,1,0,-10.8,584.7065335242714,0.05847065335242715,0.0023826432532683133,2.3826432532683133
C-2-SW,SW_background,T2,72,50,41.2,100,22,1,0,-10.7,558.9306074524358,0.05589306074524358,0.0022776079358388514,2.2776079358388515
C-3-SW,SW_background,T2,72,50,41.9,100,22,1,0,-10.77,568.4270012683752,0.05684270012683752,0.0023163051580497055,2.3163051580497056
C-1-SW,SW_background,T3,96,50,42.1,100,22,1,0,-10.65,571.1402566443579,0.0571140256644358,0.002327361507252807,2.327361507252807
C-2-SW,SW_background,T3,96,50,42.7,100,22,1,0,-10.6,579.2800227723061,0.05792800227723061,0.002360530554862111,2.360530554862111
C-3-SW,SW_background,T3,96,50,41.9,100,22,1,0,-10.79,568.4270012683752,0.05684270012683752,0.0023163051580497055,2.3163051580497056
C-1-SW,SW_background,T4,192,50,44.3,100,22,1,0,-10.56,600.9860657801676,0.06009860657801676,0.00244898134848692,2.44898134848692
C-2-SW,SW_background,T4,192,50,42.9,100,22,1,0,-10.86,581.9932781482887,0.05819932781482887,0.0023715869040652118,2.3715869040652118
C-3-SW,SW_background,T4,192,50,45.3,100,22,1,0,-10.8,614.5523426600811,0.06145523426600811,0.0025042630945024263,2.5042630945024262
C-1-SW,SW_background,T5,216,50,44.9,100,22,1,0,-10.86,609.1258319081156,0.06091258319081157,0.0024821503960962238,2.4821503960962237
C-2-SW,SW_background,T5,216,50,42.6,100,22,1,0,-11,577.9233950843147,0.057792339508431476,0.00235500238026056,2.35500238026056
C-3-SW,SW_background,T5,216,50,48.6,100,22,1,0,-11.78,659.3210563637956,0.06593210563637956,0.0026866928563535966,2.686692856353597
C-1-SW,SW_background,T6,240,50,48.1,100,22,1,0,-10.65,652.5379179238389,0.0652537917923839,0.002659051983345844,2.659051983345844
C-2-SW,SW_background,T6,240,50,47.1,100,22,1,0,-10.71,638.9716410439254,0.06389716410439254,0.0026037702373303377,2.6037702373303375
