incubation,time,average_CO2_mmol,std_CO2_mmol,average_CO2_umol,std_CO2_umol,average_delta_13c,std_delta_13c
PE,0,0.002038790793051865,6.283664777611585e-5,2.0387907930518647,0.06283664777611579,79.19333333333333,8.795762237198847
PE,24,0.002064220396218998,1.4936305276211237e-5,2.0642203962189978,0.014936305276211224,146.41333333333333,4.066956273840839
PE,72,0.0022698684913966807,6.754786942374075e-5,2.269868491396681,0.06754786942374068,151.156,2.670698410528595
PE,96,0.0022687628564763704,3.1900968486240826e-5,2.2687628564763704,0.03190096848624079,149.334,3.3429074172043736
PE,192,0.0024191292056385473,1.1046670661332334e-4,2.4191292056385474,0.11046670661332324,127.03399999999999,2.3210200343814353
PE,216,0.0026745308722301857,1.0757947087076761e-4,2.6745308722301857,0.10757947087076769,150.638,5.380512986695604
PE,240,0.0026015589674897176,8.361992262907495e-5,2.6015589674897175,0.0836199226290751,156.212,2.6379954510953976
PE,264,0.00289676349121252,1.0334877692366592e-4,2.89676349121252,0.10334877692366583,142.57,11.644202420088718
PE,336,0.0030183833324466335,1.0230857584113374e-4,3.0183833324466334,0.10230857584113383,159.958,2.535768128200999
PE,360,0.0030449185705340763,9.791269639425919e-5,3.0449185705340764,0.09791269639425927,159.446,2.406507843328167
PE,384,0.003248355395871139,8.149136914178299e-5,3.248355395871139,0.08149136914178291,157.458,0.9475072559088922
PE,408,0.0033014258720460246,1.030822991868738e-4,3.301425872046025,0.10308229918687371,152.734,13.046125095215046
PE,432,0.003041601665773146,1.5846683893865887e-4,3.041601665773146,0.1584668389386589,146.568,4.170727754241454
PE,504,0.0034783274592956443,1.1072921307135704e-4,3.4783274592956444,0.11072921307135696,158.784,3.223333678042025
PE,552,0.0035325035703908402,8.039646199265216e-5,3.53250357039084,0.08039646199265231,157.042,1.9538986667685765
PE,600,0.0038232855544324024,1.3044617967563328e-4,3.823285554432402,0.13044617967563316,158.744,2.533235085814178
PE,696,0.0038652996814041865,6.439789552076671e-5,3.8652996814041867,0.06439789552076663,156.55,2.4379807218269782
PP,0,0.0020984950787486115,4.92286974631737e-5,2.0984950787486114,0.04922869746317382,101.566,17.22441087526654
PP,24,0.0020421076978127954,3.7207531004661904e-5,2.0421076978127957,0.03720753100466187,159.428,4.016773580873092
PP,72,0.0023561080151808704,4.4294445093033115e-5,2.35610801518087,0.044294445093033076,213.98,7.011073384297162
