incubation,time,average_excess_13CO2_umol,std_excess_13CO2_umol,average_Net_excess_13C_umol,std_Net_excess_13C_umol,perct_degradation,sd_perct_deg
PP,24,0.6422075948269862,0.018796223238927035,0.41478941334167657,0.05638866971678111,12.07432868575311,1.6414481913306296
PP,72,0.9254667860529847,0.03321849329337747,1.257808100310949,0.09965547988013236,36.61421419704099,2.900925097666357
PP,96,0.9255998838817079,0.05557935986411349,1.2548279504427564,0.16673807959234047,36.5274634076429,4.85366866335809
PP,192,0.9562959651047086,0.05518384119308536,1.3333984206943121,0.1655515235792561,38.814613591078285,4.819128564586968
PP,216,1.002964326473486,0.03834451843259083,1.470024061446283,0.1150335552977725,42.791723035725646,3.3485737867951126
PP,240,1.01284428452517,0.035331130634384526,1.4962844922469731,0.10599339190315356,43.55615207542204,3.0854187961212585
PP,264,1.0731997033642746,0.07997864282994269,1.6739713054099254,0.2399359284898281,48.728533327800356,6.984424314901991
PP,336,1.1027306727732493,0.04808556228240655,1.7524258835737643,0.14425668684721968,51.01230994596584,4.1992456800634494
PP,360,1.1162737762384516,0.03490823706025986,1.7896757506150096,0.10472471118077958,52.09663641064856,3.0484880849061105
PP,384,1.1438309315842106,0.1020209907474363,1.8689677732979246,0.30606297224230894,54.40479065286655,8.909352086930078
PP,408,0.9675678483353031,0.037558050936257664,1.3367990801968406,0.112674152808773,38.91360522215936,3.2798926675624545
PP,432,1.066211881644582,0.10648632012693221,1.6293517367703156,0.31945896038079663,47.429678245577264,9.299303128716463
PP,504,1.1215255952996532,0.07076612455793757,1.785154547672444,0.21229837367381274,51.96502627637889,6.179907829703745
PP,552,1.1611046333225687,0.025803417048367236,1.8971327750324674,0.07741025114510171,55.22466087481348,2.2533767398801188
PP,600,1.2020967556861948,0.021760344208038955,2.0133502554146223,0.06528103262411689,58.60769817525755,1.9003007779267282
PP,696,1.141497904566893,0.04860029975720299,1.8180359286392698,0.14580089927160902,52.92218812445114,4.2441969921581535
